,learning_rate,batch_size,dropout,val_acc,val_f1
0,0.0003,16,0.2,0.9514563106796117,0.9277882432497706
1,0.0003,16,0.3,0.9514563106796117,0.9277882432497706
2,0.0003,16,0.5,0.9514563106796117,0.9277882432497706
3,0.0003,32,0.2,0.9514563106796117,0.9277882432497706
4,0.0003,32,0.3,0.9514563106796117,0.9277882432497706
5,0.0003,32,0.5,0.9514563106796117,0.9277882432497706
6,0.0003,64,0.2,0.9514563106796117,0.9277882432497706
7,0.0003,64,0.3,0.9514563106796117,0.9277882432497706
8,0.0003,64,0.5,0.9514563106796117,0.9277882432497706
9,0.001,16,0.2,0.9514563106796117,0.9277882432497706
10,0.001,16,0.3,0.9514563106796117,0.9277882432497706
11,0.001,16,0.5,0.9514563106796117,0.9277882432497706
12,0.001,32,0.2,0.9514563106796117,0.9277882432497706
13,0.001,32,0.3,0.9514563106796117,0.9277882432497706
14,0.001,32,0.5,0.9514563106796117,0.9277882432497706
15,0.001,64,0.2,0.9514563106796117,0.9277882432497706
16,0.001,64,0.3,0.9514563106796117,0.9277882432497706
17,0.001,64,0.5,0.9514563106796117,0.9277882432497706
18,0.003,16,0.2,0.9514563106796117,0.9277882432497706
19,0.003,16,0.3,0.9514563106796117,0.9277882432497706
20,0.003,16,0.5,0.9514563106796117,0.9277882432497706
21,0.003,32,0.2,0.9514563106796117,0.9277882432497706
22,0.003,32,0.3,0.9514563106796117,0.9277882432497706
23,0.003,32,0.5,0.9514563106796117,0.9277882432497706
24,0.003,64,0.2,0.9514563106796117,0.9277882432497706
25,0.003,64,0.3,0.9514563106796117,0.9277882432497706
26,0.003,64,0.5,0.9514563106796117,0.9277882432497706
